section,id,path,candidate,x,y,worst_dh,abs_worst_dh,worst_delta,rank,n_nodes,alpha_0,alpha_1,alpha_2,alpha_3,elin
end_a,Ru,,Ru,,,-2.6575,2.6575,3.0146,,,,,,,
end_a,Fe,,Fe,,,-2.671,2.671,0.7594,,,,,,,
end_a,Ni,,Ni,,,-2.856,2.856,0.7937,,,,,,,
end_a,Rh,,Rh,,,-2.9293,2.9293,3.3811,,,,,,,
end_a,Mo,,Mo,,,-3.5002,3.5002,4.8291,,,,,,,
end_a,Pd,,Pd,,,3.5626,3.5626,4.4702,,,,,,,
end_a,Cr,,Cr,,,-3.6536,3.6536,0.889,,,,,,,
end_a,Co,,Co,,,-3.7423,3.7423,0.7937,,,,,,,
end_a,Mn,,Mn,,,-4.738,4.738,2.279,,,,,,,
end_b,Mn,,Mn,,,1.9042,1.9042,1.3993,,,,,,,
end_b,V,,V,,,2.2068,2.2068,1.6116,,,,,,,
end_b,Rh,,Rh,,,2.7415,2.7415,1.8871,,,,,,,
end_b,Nb,,Nb,,,2.8892,2.8892,5.5843,,,,,,,
end_b,Cu,,Cu,,,2.9449,2.9449,1.5386,,,,,,,
end_b,Ta,,Ta,,,3.1076,3.1076,5.5843,,,,,,,
cross_paths,Co-Rh,,,Co,Rh,2.0589,2.0589,3.849,,,,,,,
cross_paths,Cr-Mn,,,Cr,Mn,3.1356,3.1356,1.5386,,,,,,,
cross_paths,Cr-V,,,Cr,V,-1.9366,1.9366,2.2907,,,,,,,
cross_paths,Fe-Mn,,,Fe,Mn,2.171,2.171,1.9309,,,,,,,
cross_paths,Fe-Rh,,,Fe,Rh,-3.8619,3.8619,3.0549,,,,,,,
cross_paths,Mn-Cu,,,Mn,Cu,2.9449,2.9449,1.5386,,,,,,,
cross_paths,Mn-Mn,,,Mn,Mn,0.0,0.0,0.0,,,,,,,
cross_paths,Mn-Nb,,,Mn,Nb,-1.1185,1.1185,5.0424,,,,,,,
cross_paths,Mn-Ta,,,Mn,Ta,1.1706,1.1706,5.0424,,,,,,,
cross_paths,Mn-V,,,Mn,V,-1.898,1.898,0.7519,,,,,,,
cross_paths,Mo-Ta,,,Mo,Ta,-4.9069,4.9069,2.4569,,,,,,,
cross_paths,Mo-V,,,Mo,V,3.9984,3.9984,1.8318,,,,,,,
cross_paths,Ni-Cu,,,Ni,Cu,3.5747,3.5747,1.1859,,,,,,,
cross_paths,Ni-Rh,,,Ni,Rh,3.2152,3.2152,3.849,,,,,,,
cross_paths,Pd-Cu,,,Pd,Cu,-2.9051,2.9051,3.762,,,,,,,
cross_paths,Rh-Rh,,,Rh,Rh,0.0,0.0,0.0,,,,,,,
cross_paths,Ru-Mn,,,Ru,Mn,-2.4558,2.4558,0.7519,,,,,,,
cross_paths,Ru-Rh,,,Ru,Rh,-0.1885,0.1885,0.3717,,,,,,,
cte_ranked,1,Invar-Pd-Cu-MnCu,,Pd,Cu,,,,1,4,1.3,11.6,17.7,22.8,1.876758
cte_ranked,2,Invar-Rh-MnCu,,Rh,Rh,,,,2,3,1.3,8.2,22.8,,2.222799
cte_ranked,3,Invar-Ni-Cu-MnCu,,Ni,Cu,,,,3,4,1.3,13.5,17.7,22.8,2.720549
cte_ranked,4,Invar-Cr-Mn-MnCu,,Cr,Mn,,,,4,4,1.3,8.1,22.4,22.8,3.388297
cte_ranked,5,Invar-Ru-Mn-MnCu,,Ru,Mn,,,,5,4,1.3,6.3,22.4,22.8,3.552542
cte_ranked,6,Invar-Cr-V-MnCu,,Cr,V,,,,6,4,1.3,8.1,8.4,22.8,3.62131
cte_ranked,7,Invar-Fe-Mn-MnCu,,Fe,Mn,,,,7,4,1.3,11.5,22.4,22.8,3.707725
cte_ranked,8,Invar-Ru-Rh-MnCu,,Ru,Rh,,,,8,4,1.3,6.3,8.2,22.8,3.871333
cte_ranked,9,Invar-Mo-V-MnCu,,Mo,V,,,,9,4,1.3,4.9,8.4,22.8,4.032438
cte_ranked,10,Invar-Mo-Ta-MnCu,,Mo,Ta,,,,10,4,1.3,4.9,6.3,22.8,4.995804
cte_ranked,11,Invar-Mn-MnCu,,Mn,Mn,,,,11,3,1.3,22.4,22.8,,5.975575
